Date,Month_End,Broker,Portfolio,RefCur,Currency,Nominal/Quantity,Cost_Price,Last_Price,Last_Price_Date,Exchange_Rate,Calculated_Amount,Amount_In_USD,Calculated_Accrued_Interest,Accrued_Interest_In_USD,Total_Amount_In_USD,FileDate,Bank,ISIN,Asset,AssetSubtype,Description,Statement_Product_Type,Compliance_Product_Type,Product_Valor,Product,Underlying
2026/6/16,202606,BOS HK,C,HKD,HKD,0,0,0,,1,1370.25,176.8064516,0,0,176.8064516,2026/6/16,BOS,,Current Accounts,,Current Accounts HKD,Cash,Cash,,,
2026/6/16,202606,BOS HK,A,USD,HKD,90000,5.75648755,1.983525933,2026/6/16,7.833325,178517.3339,22789.47209,0,0,22789.47209,2026/6/16,BOS,KYG5140J1013,Equities,Equities,Jinxin Fertility Group Ord Shs,Equity,Equity,,Jinxin Fertility Group Ord Shs,Jinxin Fertility Group Limited;1951.HK
2026/6/16,202606,BOS HK,B,USD,JPY,0,0,0,,160.256251,3635695,22686.76,0,0,22686.76,2026/6/16,BOS,,Current Accounts,,Current Accounts JPY,Cash,Cash,,,
2026/6/16,202606,BOS HK,A,USD,USD,30000,3.3734,2.539494771,2026/6/16,1,76184.84313,76184.84313,0,0,76184.84313,2026/6/16,BOS,US90114C1071,Equities,Equities,TUYA INC,Equity,Equity,TUYA US,TUYA INC,Tuya Inc;TUYA
2026/6/16,202606,BOS HK,B,USD,AUD,0,0,0,,0.70617445,0,0,0,0,0,2026/6/16,BOS,,Current Accounts,,Current Accounts AUD,Cash,Cash,,,
2026/6/16,202606,BOS HK,A,USD,USD,9000,5.4035,3.795401929,2026/6/16,1,34158.61736,34158.61736,0,0,34158.61736,2026/6/16,BOS,US91531W1062,Equities,Equities,UP FINTECH HOLDING ADR,Equity,Equity,TIGR US,UP FINTECH HOLDING SHARES A LTD SPONSORED AMERICAN DEPOSITARY SHARE REPR 15 SHS −A−,UP Fintech Holding Limited;1M5.F
2026/6/16,202606,BOS HK,B,USD,EUR,0,0,0,,1.159447,0,0,0,0,0,2026/6/16,BOS,,Current Accounts,,Current Accounts EUR,Cash,Cash,,,
2026/6/16,202606,BOS HK,A,USD,USD,300,111.3191667,10.69751411,2026/6/16,1,3209.254234,3209.254234,0,0,3209.254234,2026/6/16,BOS,US12233L2060,Equities,Equities,BURNING ROCK BIOTECH ADS REP 10 ORD,Equity,Equity,,,
2026/6/16,202606,BOS HK,A,USD,AUD,0,0,0,,0.70617445,959.03,677.24,0,0,677.24,2026/6/16,BOS,,Current Accounts,,Current Accounts AUD,Cash,Cash,,,
2026/6/16,202606,BOS HK,A,USD,HKD,0,0,0,,7.833325,103099.41,13161.64,0,0,13161.64,2026/6/16,BOS,,Current Accounts,,Current Accounts HKD,Cash,Cash,,,
2026/6/16,202606,BOS HK,B,USD,HKD,0,0,0,,7.833325,8299.74,1059.54,0,0,1059.54,2026/6/16,BOS,,Current Accounts,,Current Accounts HKD,Cash,Cash,,,
2026/6/16,202606,BOS HK,B,USD,GBP,0,0,0,,1.34155095,0,0,0,0,0,2026/6/16,BOS,,Current Accounts,,Current Accounts GBP,Cash,Cash,,,
2026/6/16,202606,BOS HK,A,USD,HKD,19000,441.1648153,522.8158101,2026/6/16,7.833325,9933500.392,1268107.778,0,0,1268107.778,2026/6/16,BOS,KYG875721634,Equities,Equities,TENCENT HOLDINGS LTD (700),Equity,Equity,24014323,Reg.shsTencentHoldingsLtd (700) 分派:07.06.2021 分派金額:HKD 1.6 交易編號24014323-ISINKYG875721634,Tencent Holdings Limited;0700.HK
2026/6/16,202606,BOS HK,A,USD,HKD,17000,37.12403588,14.52642879,2026/6/16,7.833325,246949.2894,31525.4723,0,0,31525.4723,2026/6/16,BOS,CNE100001M79,Equities,Equities,SHANGHAI FOSUN PHARMACEUTI-H (2196),Equity,Equity,02196,FOSUN PHARMA 復星醫藥,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.;2196.HK"
2026/6/16,202606,BOS HK,A,USD,HKD,57000,123.2508396,95.55881591,2026/6/16,7.833325,5446852.507,695343.6103,0,0,695343.6103,2026/6/16,BOS,KYG017191142,Equities,Equities,ALIBABA GRP HLDG,Equity,Equity,,Alibaba Group Holding Ltd (HKEX),Alibaba Group Holding Limited;9988.HK
2026/6/16,202606,BOS HK,A,USD,USD,10000,4.23695,3.864044444,2026/6/16,1,38640.44444,38640.44444,0,0,38640.44444,2026/6/16,BOS,US00138L1089,Equities,Equities,ATRENEW ADR 3 ADR REP 2 CL A ORD,Equity,Equity,RERE US,ATRenew 3 ADR Representing Ord Shs Class A,ATRenew Inc;RERE
2026/6/16,202606,BOS HK,C,HKD,USD,0,0,0,,7.833325,48.01,48.52645161,0,0,48.52645161,2026/6/16,BOS,,Current Accounts,,Current Accounts USD,Cash,Cash,,,
2026/6/16,202606,BOS HK,A,USD,GBP,0,0,0,,1.34155095,100,134.16,0,0,134.16,2026/6/16,BOS,,Current Accounts,,Current Accounts GBP,Cash,Cash,,,
2026/6/16,202606,BOS HK,B,USD,USD,0,0,0,,1,1710261.74,1710261.74,290.71,290.71,1710552.45,2026/6/16,BOS,,Current Accounts,,Current Accounts USD,Cash,Cash,,,
